[15, 3, 16, 0, 10, 6, 13, 18]
[20, 3, 6, 11, 9, 5, 1, 10]
[7, 2, 12, 16, 10, 14, 1, 0]
[9, 3, 0, 4, 5, 2, 20, 15]
[9, 1, 18, 8, 11, 7, 5, 2]
[17, 18, 5, 10, 9, 6, 19, 16]
[11, 20, 7, 16, 17, 9, 4, 1]
[11, 4, 12, 1, 7, 10, 19, 14]
[11, 2, 16, 10, 7, 9, 3, 15]
[5, 7, 12, 2, 8, 18, 16, 11]
[14, 15, 3, 8, 0, 16, 13, 9]
[8, 15, 18, 7, 17, 4, 16, 2]
[16, 2, 19, 18, 3, 11, 14, 1]
[15, 9, 6, 4, 8, 16, 20, 18]
[8, 0, 15, 4, 18, 2, 9, 6]
[13, 17, 9, 7, 15, 14, 0, 16]
[4, 18, 3, 17, 7, 6, 0, 12]
[15, 14, 4, 12, 11, 16, 8, 9]
[3, 1, 9, 12, 13, 14, 5, 0]
[8, 4, 14, 1, 2, 7, 3, 6]
[11, 7, 0, 12, 10, 2, 4, 15]
[2, 20, 4, 11, 18, 19, 5, 14]
[18, 8, 5, 4, 12, 3, 19, 6]
[8, 6, 1, 13, 7, 10, 11, 5]
[0, 17, 20, 13, 3, 7, 19, 10]
[4, 18, 13, 8, 0, 3, 11, 16]
[5, 3, 10, 7, 14, 13, 11, 2]
[3, 11, 19, 1, 2, 9, 5, 8]
[1, 11, 8, 12, 18, 16, 3, 14]
[14, 16, 20, 13, 6, 0, 9, 15]
[15, 19, 7, 17, 10, 8, 12, 20]
[19, 0, 16, 6, 10, 14, 1, 7]
[11, 6, 9, 12, 4, 20, 3, 16]
[19, 11, 2, 5, 15, 13, 12, 14]
[3, 1, 19, 9, 16, 17, 14, 4]
[14, 0, 19, 18, 9, 7, 6, 15]
[0, 11, 7, 10, 15, 1, 20, 5]
[16, 20, 6, 4, 9, 3, 11, 19]
[0, 7, 17, 12, 4, 3, 15, 20]
[2, 3, 17, 18, 19, 0, 5, 1]
[5, 16, 12, 18, 19, 15, 10, 1]
[7, 11, 2, 17, 5, 20, 0, 6]
[19, 11, 13, 0, 12, 9, 16, 2]
[16, 13, 7, 12, 0, 15, 4, 14]
[18, 14, 3, 17, 0, 1, 4, 2]
[19, 8, 1, 9, 14, 0, 3, 12]
[17, 0, 8, 11, 4, 12, 18, 13]
[15, 11, 1, 14, 6, 13, 7, 17]
[10, 15, 18, 9, 11, 8, 14, 4]
[0, 19, 1, 11, 14, 15, 5, 6]
[11, 7, 0, 16, 12, 8, 5, 2]
[1, 2, 3, 6, 7, 20, 15, 12]
[16, 14, 4, 6, 10, 0, 9, 20]
[12, 18, 17, 11, 1, 16, 13, 10]
[8, 13, 9, 3, 19, 20, 15, 14]
[11, 15, 0, 2, 3, 8, 17, 16]
[4, 16, 3, 5, 20, 0, 7, 9]
[16, 0, 12, 19, 3, 5, 11, 8]
[6, 16, 11, 18, 19, 10, 7, 17]
[14, 20, 15, 11, 16, 5, 13, 4]
[0, 6, 15, 10, 5, 11, 1, 18]
[0, 4, 15, 2, 10, 11, 19, 9]
[10, 11, 9, 15, 7, 2, 8, 3]
[16, 9, 10, 5, 19, 20, 18, 0]
[12, 19, 3, 20, 10, 15, 2, 7]
[8, 3, 11, 15, 7, 5, 10, 14]
[18, 15, 19, 14, 9, 13, 0, 11]
[11, 19, 16, 7, 2, 9, 13, 15]
[14, 10, 2, 16, 11, 12, 9, 20]
[6, 13, 8, 7, 11, 3, 17, 15]
[0, 12, 3, 2, 13, 20, 15, 5]
[20, 5, 16, 2, 11, 15, 3, 17]
[13, 12, 1, 3, 17, 19, 14, 16]
[20, 5, 19, 10, 1, 4, 16, 6]
[6, 16, 12, 17, 9, 5, 0, 15]
[17, 9, 5, 12, 8, 19, 6, 3]
[5, 0, 16, 20, 13, 2, 4, 17]
