[12, 7, 16, 9, 11, 17, 4, 19]
[3, 10, 17, 1, 13, 18, 9, 8]
[5, 16, 13, 2, 6, 9, 17, 0]
[0, 17, 4, 19, 9, 15, 7, 14]
[12, 8, 6, 15, 4, 20, 16, 13]
[7, 8, 10, 9, 2, 5, 11, 4]
[10, 7, 6, 5, 15, 8, 14, 3]
[7, 10, 14, 1, 20, 13, 6, 5]
[6, 16, 9, 15, 2, 1, 11, 12]
[9, 19, 1, 15, 16, 5, 8, 4]
[18, 0, 5, 7, 17, 1, 13, 16]
[16, 17, 20, 11, 1, 14, 9, 2]
[2, 5, 18, 15, 11, 12, 19, 6]
[10, 0, 17, 8, 14, 12, 6, 13]
[8, 13, 12, 18, 9, 19, 15, 5]
[15, 5, 3, 10, 11, 2, 1, 14]
[8, 1, 12, 15, 5, 17, 13, 3]
[8, 5, 0, 20, 11, 17, 15, 19]
[4, 20, 16, 12, 15, 13, 0, 11]
[14, 11, 1, 18, 19, 5, 4, 20]
[15, 18, 4, 5, 11, 1, 12, 14]
[2, 7, 13, 19, 11, 1, 15, 10]
[12, 16, 3, 7, 5, 18, 6, 13]
[5, 4, 7, 0, 12, 6, 13, 18]
[15, 2, 18, 14, 17, 3, 8, 20]
[9, 15, 19, 8, 0, 17, 18, 12]
[0, 20, 5, 11, 16, 13, 4, 10]
[12, 7, 0, 11, 8, 2, 18, 6]
[10, 8, 11, 4, 18, 15, 0, 13]
[16, 14, 11, 5, 12, 19, 15, 0]
[20, 6, 13, 15, 17, 7, 16, 10]
[5, 19, 8, 7, 13, 6, 14, 15]
[1, 0, 12, 5, 18, 13, 4, 11]
[3, 16, 4, 11, 12, 8, 17, 6]
[16, 14, 9, 15, 5, 2, 3, 12]
[1, 7, 16, 18, 8, 2, 10, 11]
[4, 16, 19, 20, 14, 6, 2, 12]
[11, 12, 2, 5, 19, 3, 16, 1]
[20, 10, 4, 12, 18, 3, 1, 11]
[8, 18, 0, 6, 11, 2, 10, 16]
[20, 9, 16, 6, 18, 5, 13, 17]
[13, 0, 18, 19, 8, 3, 5, 4]
[5, 11, 19, 4, 10, 6, 12, 1]
[15, 20, 5, 7, 17, 19, 10, 1]
[1, 15, 8, 19, 17, 2, 16, 13]
[6, 0, 8, 7, 1, 19, 9, 4]
[4, 2, 19, 9, 15, 11, 3, 5]
[10, 8, 12, 14, 6, 19, 0, 3]
[14, 18, 13, 16, 12, 2, 11, 15]
[1, 6, 17, 9, 15, 19, 14, 18]
[7, 5, 17, 6, 4, 13, 3, 8]
[13, 18, 14, 7, 4, 15, 2, 3]
[0, 2, 3, 7, 11, 20, 16, 13]
[3, 20, 10, 14, 1, 8, 2, 13]
[17, 9, 7, 15, 6, 16, 19, 1]
[5, 6, 10, 11, 17, 3, 9, 8]
[10, 20, 4, 1, 8, 6, 7, 11]
[7, 5, 12, 19, 10, 0, 15, 3]
[13, 16, 14, 2, 20, 10, 19, 11]
[16, 2, 17, 18, 8, 0, 10, 5]
[5, 11, 16, 17, 0, 2, 3, 13]
[10, 19, 1, 17, 3, 6, 4, 0]
[18, 3, 6, 5, 0, 9, 7, 8]
[0, 12, 15, 3, 1, 8, 17, 6]
[15, 0, 1, 12, 20, 6, 8, 14]
[10, 20, 15, 2, 1, 7, 4, 3]
[5, 8, 18, 17, 0, 20, 16, 19]
[10, 12, 1, 13, 20, 19, 7, 2]
[4, 10, 9, 19, 12, 11, 0, 5]
[17, 2, 6, 20, 14, 15, 3, 0]
[17, 13, 8, 10, 1, 12, 15, 3]
[8, 12, 0, 1, 18, 19, 20, 6]
[10, 1, 2, 18, 15, 17, 11, 13]
[9, 2, 3, 1, 6, 8, 0, 12]
[10, 14, 11, 16, 1, 5, 6, 0]
[19, 11, 3, 15, 16, 9, 13, 1]
[5, 13, 16, 0, 7, 19, 8, 3]
[10, 18, 12, 4, 6, 13, 19, 3]
[2, 9, 20, 3, 1, 11, 7, 15]
[13, 9, 1, 12, 5, 4, 7, 3]
[9, 3, 5, 2, 13, 10, 0, 11]
[13, 11, 10, 17, 15, 3, 1, 16]
[15, 6, 19, 9, 12, 4, 0, 18]
[6, 0, 19, 14, 3, 17, 7, 8]
[0, 11, 14, 20, 10, 17, 7, 19]
[4, 19, 2, 17, 5, 20, 8, 7]
[9, 1, 6, 8, 10, 19, 20, 17]
[16, 13, 14, 8, 19, 4, 11, 17]
[18, 17, 19, 0, 5, 1, 16, 14]
[4, 18, 16, 1, 7, 20, 15, 0]
[11, 15, 8, 14, 4, 1, 2, 5]
[0, 1, 6, 17, 11, 16, 13, 9]
[17, 14, 19, 12, 0, 8, 6, 5]
[6, 16, 17, 11, 18, 1, 10, 5]
[18, 3, 5, 9, 16, 15, 17, 10]
[0, 19, 10, 14, 11, 13, 7, 1]
[1, 9, 3, 7, 20, 0, 8, 6]
[0, 11, 8, 15, 14, 18, 1, 19]
[16, 8, 6, 4, 15, 19, 11, 1]
[1, 19, 10, 12, 0, 14, 9, 11]
